id,category,category_label,provenance,prompt,expected_answer,accepted_variants,common_wrong_answer,rationale,failure_mode
GG-01,GG,Goal grounding / means-end reasoning,sourced/inspired,I want to wash my car. The car wash is only 100 metres away. Should I drive there or walk?,Drive there. The car is the thing that needs to reach the car wash.,Drive there. | Take the car there.,Walk there because it is only 100 metres.,"The service applies to the car, so the car must be brought to the destination.",Optimises for human walking distance instead of the task goal.
GG-02,GG,Goal grounding / means-end reasoning,drafted,"I need to pick up my car from the mechanic, and the mechanic is 200 metres away. Should I walk there or drive there?","Walk there, then drive back.",Walk there and drive back. | Go on foot to collect the car.,Drive there because driving is faster.,"The car is already at the mechanic, so driving your current car there solves nothing.",Ignores where the needed object currently is.
GG-03,GG,Goal grounding / means-end reasoning,drafted,I want to get my coat dry-cleaned. The dry cleaner is across the street. Should I walk there first and come back for the coat if the line is short?,Bring the coat with you now.,Take the coat with you. | Bring the coat on the first trip. | Bring the coat with you. | Bring the coat with you on the first trip.,"Go check first, then decide whether to fetch the coat.","The coat is the thing that needs the service, so separating the trip from the object is inefficient and misses the task.",Splits the logistics from the goal object.
GG-04,GG,Goal grounding / means-end reasoning,drafted,I need a copy of my house key made. The locksmith is one block away. Should I leave the key at home and ask whether they can copy it?,Bring the key.,Take the key with you. | Bring the original key to the locksmith.,Ask first and go back for the key later.,A copy cannot be made without the key being present.,Answers a planning subproblem instead of the real task.
GG-05,GG,Goal grounding / means-end reasoning,drafted,My bicycle has a completely flat tyre and the repair shop is 100 metres away. Should I ride it there or walk it there?,Walk it there.,Walk the bike there. | Push it there instead of riding it.,Ride it because the shop is very close.,A completely flat tyre makes riding impractical and risks damaging the bike.,Optimises for speed while ignoring the stated constraint.
GG-06,GG,Goal grounding / means-end reasoning,drafted,I need to mail a parcel at the post office 300 metres away. Should I carry the parcel there or leave it at home while I first ask whether they can mail parcels?,Carry the parcel there.,Bring the parcel. | Take the parcel with you. | Carry the parcel with you.,Go empty-handed first and ask.,"The post office obviously mails parcels, and the parcel is required for the task.",Treats the service destination as if its function were uncertain.
GG-07,GG,Goal grounding / means-end reasoning,drafted,I want to refill my water bottle at the tap downstairs. Should I bring the bottle or go downstairs empty-handed first?,Bring the bottle.,Take the bottle downstairs. | Bring it with you.,Go empty-handed first because the tap is nearby.,The bottle is the thing that needs filling.,Misses the relationship between goal and object.
GG-08,GG,Goal grounding / means-end reasoning,drafted,My watch battery died and the jeweller next door replaces watch batteries. Should I take the watch with me or just describe it?,Take the watch with you.,Bring the watch. | Take the actual watch to the jeweller.,Describe it first and return later with the watch.,"Battery replacement is performed on the watch itself, not from a description.",Answers around the task instead of completing it.
CR-01,CR,Classic-riddle override / anti-pattern-match,sourced,"A farmer wants to cross a river with a wolf, a goat, and a cabbage. He has a boat with three secure separate compartments. How does he get them all across without anything being eaten?",Put all three in the separate compartments and cross once.,"Take all three across in one trip. | Load all three safely and cross once. | Put all three in separate compartments and cross once. | Put the wolf, goat, and cabbage in separate compartments and cross once.",Use the classic multi-trip wolf-goat-cabbage solution.,The secure compartments remove the original constraint that makes the classic riddle hard.,Overfits to the memorised classic riddle instead of the modified setup.
CR-02,CR,Classic-riddle override / anti-pattern-match,sourced,You have six horses and want to know which is fastest. What is the best way to do it?,Race all six together once.,Run one race with all six horses. | Race them all at the same time. | Race all six horses together. | Race all six horses together once.,"Race them in groups, then race the winners.","The prompt gives no lane or grouping constraint, so one race is sufficient.",Hallucinates a missing constraint from a familiar puzzle pattern.
CR-03,CR,Classic-riddle override / anti-pattern-match,sourced,Alan is on Bob’s immediate left. Bob is on Colin’s immediate left. Colin is on Dave’s immediate left. Dave is on Emily’s immediate left. Who is on Alan’s immediate right?,Bob.,Bob is on Alan's immediate right. | It is Bob.,Emily.,The first clause already implies that Bob is immediately to Alan's right.,Overcomplicates a question whose answer is locally available.
CR-04,CR,Classic-riddle override / anti-pattern-match,sourced,"In Russian roulette with a six-shooter, five bullets are loaded, the chambers are spun, and a trigger pull clicks on an empty chamber. Before the next shot at you, should the chambers be spun again?","Yes, spin again. Without spinning, the next chamber will contain a bullet.","Yes, spin again. | Re-spin the chambers before the next shot.",It makes no difference whether you spin again.,"Once the empty chamber has just been used, the next chamber in sequence is no longer equally likely to be empty.","Starts with the right instinct, then collapses conditional probability into unconditional odds."
CR-05,CR,Classic-riddle override / anti-pattern-match,sourced,"You enter a dark room with a candle, an oil lamp, and a fireplace. You have one match. What do you light first?",The match.,"Light the match first. | First, the match.",The candle.,Nothing else can be lit until the match itself is lit.,Jumps to target objects and misses the action sequence.
CR-06,CR,Classic-riddle override / anti-pattern-match,sourced/common,"If an electric train is travelling north, which direction does the smoke blow?",It does not blow anywhere. Electric trains do not produce smoke.,"There is no smoke. | Nowhere, because an electric train has no smoke. | No smoke. | It doesn't blow anywhere.","North, south, east, or west depending on the wording.","The prompt tempts pattern completion, but the key fact is that electric trains have no smoke.",Accepts an implied premise that was never true.
CR-07,CR,Classic-riddle override / anti-pattern-match,sourced/common,How many months have 28 days?,All twelve months.,Twelve. | Every month has at least 28 days. | All 12 months have at least 28 days.,"One, meaning February.","The question asks which months have 28 days, not exactly 28 days.",Snaps to the stereotyped answer instead of reading precisely.
CR-08,CR,Classic-riddle override / anti-pattern-match,sourced/common,A plane crashes on the border of two countries. Where do you bury the survivors?,You do not bury the survivors.,"Nowhere, because survivors are alive. | You wouldn't bury survivors. | You don't bury survivors. | Survivors are alive.",On the border or in one of the two countries.,The trap is to ignore the word survivors and answer the border question.,Optimises for the dramatic setup and skips the decisive word.
TW-01,TW,Temporal or world-state reasoning,drafted,I turned the oven off five minutes ago. Could the inside still be hot enough to burn me?,Yes.,"Yes, it could still be hot. | Yes, ovens stay hot after being turned off.","No, it is off now so it is safe.","Turning something off changes power state, not instantly its temperature.",Confuses present power state with present thermal state.
TW-02,TW,Temporal or world-state reasoning,drafted,"There was one empty seat left on the plane, and I sat in it. Is there still an empty seat left?",No.,"No, not after you sat in it. | No, the last empty seat is now occupied.","Yes, because there was one empty seat.",The world state changes after the action of sitting down.,Repeats the initial state and ignores the update.
TW-03,TW,Temporal or world-state reasoning,drafted,I spent my last $10 on lunch. Do I still have $10?,No.,"No, you spent it. | No, you no longer have that $10.","Yes, because you had $10 before lunch.",Spending the last $10 removes that amount from your current holdings.,Fails to apply the transaction to the current state.
TW-04,TW,Temporal or world-state reasoning,drafted,"If the only empty chamber in a revolver has just been used on the previous trigger pull, is the next chamber still equally likely to be empty?",No.,"No, not after the empty chamber was just used. | No, the next chamber is not equally likely to be empty.","Yes, it is still equally likely.",The previous outcome changes the conditional probability of the next chamber.,Uses base-rate intuition where conditional state matters.
TW-05,TW,Temporal or world-state reasoning,drafted,I switched the heater off a minute ago. Could it still be warm to the touch?,Yes.,"Yes, it could still be warm. | Yes, recently switched-off heaters can stay warm.","No, once it is off it is not warm anymore.",Residual heat remains after power is removed.,Assumes an instantaneous transition from on to cold.
TW-06,TW,Temporal or world-state reasoning,drafted,I took the last cookie from the jar and ate it. Is there still a cookie in the jar?,No.,"No, the jar is empty now. | No, you took the last one.","Yes, because there was a cookie in the jar.",Taking the last cookie empties the jar.,Fails basic state update after removal.
TW-07,TW,Temporal or world-state reasoning,drafted,"I locked the door, then unlocked it. Is it locked right now?",No.,"No, it is unlocked now. | No, the final action was unlocking it.","Yes, because you locked it.",The most recent action determines the current state.,Anchors on the first event instead of the final event.
TW-08,TW,Temporal or world-state reasoning,drafted,I froze a bottle of water overnight and took it out one minute ago. Is it guaranteed to be liquid already?,No.,"No, it may still be frozen. | No, one minute is not enough to guarantee it has melted.","Yes, because it has been taken out of the freezer.",Changing environments does not instantly complete the physical transition.,Assumes state changes are immediate rather than gradual.
SP-01,SP,Social / pragmatic reasoning,drafted,"At dinner, someone says, ‘Can you pass the salt?’ Are they usually asking whether you are physically capable?",No. They are asking you to hand them the salt.,"No, they want the salt passed to them. | No, it is a polite request.","Yes, they are asking whether you can do it.","This is a conventional indirect request, not a literal capability check.",Takes the sentence too literally and misses pragmatic meaning.
SP-02,SP,Social / pragmatic reasoning,drafted,"Your friend texts, ‘I’m outside.’ Are they probably asking for a definition of ‘outside’?",No. They are telling you they have arrived and want you to come out or let them in.,"No, they are signalling that they are here. | No, it is an arrival message.","Yes, they want an explanation of the word.",Short context-rich messages often communicate an action request indirectly.,Ignores everyday conversational intent.
SP-03,SP,Social / pragmatic reasoning,drafted,"In a job interview, ‘Tell me about yourself’ usually means your full life story from birth. True or false?",False.,"False, it usually means a brief relevant summary. | False, they want a concise professional introduction.","True, you should start from birth.","The phrase conventionally asks for a concise, role-relevant introduction.",Reads a social script as a literal unlimited invitation.
SP-04,SP,Social / pragmatic reasoning,drafted,"If a host says, ‘Make yourself at home,’ should you start rearranging their furniture?",No.,"No, they mean be comfortable within normal boundaries. | No, it is a polite expression, not a blank cheque.","Yes, because they said to make yourself at home.","The phrase is figurative social permission, not literal ownership-level permission.",Misses convention and treats idiom as direct instruction.
SP-05,SP,Social / pragmatic reasoning,drafted,"Someone asks, ‘Do you mind opening the window?’ If you don’t mind, what should you do?","Open the window, or say ‘not at all’ and open it.",Open the window. | Say you don't mind and open it.,Say ‘yes’ and leave the window closed.,The question is a polite indirect request whose action is opening the window.,Gets trapped by polarity and misses the intended action.
SP-06,SP,Social / pragmatic reasoning,drafted,"A guest says, ‘I should probably get going.’ What are they usually signalling?",They are signalling that they want to leave soon.,They want to leave. | They are preparing to head out. | They are signaling that they want to leave soon. | They are getting ready to leave.,They want a debate about whether motion is possible.,This is a standard social pre-departure cue.,Misses conversational convention and over-literalises.
SP-07,SP,Social / pragmatic reasoning,drafted,"Someone says, ‘Can I borrow your charger?’ Are they asking whether chargers exist in the world?",No. They want to use your charger.,"No, they are asking to borrow yours. | No, it is a request for your charger.","Yes, they are asking a general question about chargers.",Reference to ‘your charger’ grounds the request in a specific social context.,Ignores the pragmatic target of the request.
SP-08,SP,Social / pragmatic reasoning,drafted,"At a restaurant, ‘Could we get the bill?’ usually means the diners want the check now. True or false?",True.,"True, they want the check brought over. | True, it is a request to pay.","False, they are asking whether the restaurant has any bills at all.",Restaurant service language relies heavily on shared pragmatic conventions.,Treats routine service language as abstract semantics.
SP-09,SP,Social / pragmatic reasoning,drafted,"In a meeting, ‘Let’s take this offline’ usually means discuss it separately later, not disconnect the internet. True or false?",True.,"True, it means handle it outside the current meeting. | True, it means discuss it separately.","False, it means turn the network off.",Business idiom overrides the literal technical meaning here.,Chooses the literal technical reading over the social one.
IA-01,IA,Instruction ambiguity / clarification judgment,drafted,"A user says, ‘Send it to Alex,’ but your contacts include Alex Kim and Alex Rivera. What should you do first?",Ask which Alex they mean before sending it.,Ask which Alex. | Clarify whether they mean Alex Kim or Alex Rivera. | Ask for clarification before sending it.,Send it to the first Alex in the contacts list.,The instruction cannot be executed reliably because two plausible recipients share the same name.,Acts on an underspecified instruction instead of asking for clarification.
IA-02,IA,Instruction ambiguity / cooperative intent,drafted,"A user says, ‘Can you move the 3 pm meeting to Friday at 2 pm?’ and you manage their calendar. What should you do?",Move the meeting to Friday at 2 pm.,Reschedule the meeting to Friday at 2 pm. | Move it to Friday at 2 pm. | Update the calendar so the meeting is on Friday at 2 pm.,"Yes, I can move meetings.","In context, the user is making an indirect request for a calendar change, not asking for a bare capability check.",Answers the literal capability question instead of carrying out the intended instruction.
IA-03,IA,Instruction ambiguity / over-clever gotcha avoidance,drafted,"A user says, ""Rename the document called Untitled to Notes."" There is exactly one document named Untitled and no document named Notes. What should you do?",Rename the document Untitled to Notes.,Rename Untitled to Notes. | Change the document's name from Untitled to Notes. | Rename the only Untitled document as Notes.,Ask which document they mean before renaming it.,The prompt removes the ambiguity by stating there is exactly one matching source document and no naming collision.,Invents an ambiguity and asks an unnecessary clarification instead of carrying out the specified instruction.
IA-04,IA,Instruction ambiguity / destructive action clarification,drafted,"A user says, ""Delete the draft,"" and your workspace has two drafts: an email draft and a proposal draft. What should you do first?",Ask which draft they want deleted before deleting anything.,Ask which draft to delete before deleting it. | Clarify whether they mean the email draft or the proposal draft. | Do not delete either draft until the user specifies which one.,Delete the email draft because it appears first.,"The instruction names a destructive action but leaves two plausible targets, so the assistant should clarify the target before deleting anything.",Acts on an ambiguous destructive instruction instead of asking which item to delete.
IA-05,IA,Instruction ambiguity / context-dependent shorthand,drafted,"A user says, ""Book the usual room for next Tuesday,"" but you support two teams, each with a different usual room, and no team is named. What should you do first?",Ask which team's usual room they mean before booking it.,Ask which team they mean before booking the room. | Clarify which usual room to book. | Ask whether they mean the first team's room or the second team's room before booking.,Book one of the usual rooms for next Tuesday.,"The phrase 'the usual room' depends on team context, and the prompt gives two plausible usual rooms.",Acts on context-dependent shorthand without resolving the missing team reference.
IA-06,IA,Instruction ambiguity / missing selection precondition,drafted,"A user says, ""Move the selected files to Archive,"" but no files are selected. What should you do first?",Ask which files they want moved before moving anything.,Ask the user to select or identify the files before moving them. | Clarify which files should be moved to Archive. | Do not move any files until the user specifies which files.,Move all files to Archive.,"The instruction depends on a selected-files state that is explicitly absent, so the assistant should clarify the target files before acting.",Acts on a missing selection precondition instead of asking which files to move.
IA-07,IA,Instruction ambiguity / deictic reference,drafted,"A user says, ""Undo that,"" after you just archived a message and renamed a folder in the same minute. What should you do first?",Ask which action they want undone before undoing anything.,Ask whether they want the message unarchived or the folder rename undone. | Clarify which recent action they mean before undoing it. | Do not undo anything until the user specifies which action to reverse.,Undo the most recent action automatically.,"The deictic word 'that' has two plausible recent referents, so the assistant should clarify which action to reverse before acting.",Acts on an ambiguous deictic reference instead of asking which recent action to undo.
IA-08,IA,Instruction ambiguity / ambiguous date phrase,drafted,"A user says, ""Schedule the review for next Friday,"" and your locale settings do not define whether ""next Friday"" means the upcoming Friday or the Friday after that. What should you do first?",Ask which Friday they mean before scheduling the review.,Clarify whether they mean the upcoming Friday or the Friday after that. | Ask the user which date next Friday refers to before scheduling it. | Do not schedule the review until the intended Friday is specified.,Schedule it for the upcoming Friday.,"The prompt explicitly removes a shared convention for the relative date phrase, leaving two plausible Fridays.",Acts on an ambiguous relative date instead of clarifying which Friday the user means.
